name,lat,lon
Ардымская нефтебаза (ЛИКАРД),"53,046563","44,865225"
Астраханская нефтебаза №5 (ЛИКАРД),"46,4082467","48,1305043"
Бобровская нефтебаза (ЛИКАРД),"51,11840423","40,31036973"
Волгоградская ГНС (ЛИКАРД),"48,5166129","44,6336753"
Пункт налива СУГ г. Котово (ЛИКАРД),"50,322064","44,801328"
Волгоградская нефтебаза (ЛИКАРД),"48,510196","44,641068"
ГНС Калиниградского РУ (ЛИКАРД),"54,595737","20,562104"
Калужская нефтебаза (ЛИКАРД),"54,4905","36,6343"
"КО ""ТНПС"" ООО (ЛИКАРД)","53,2009","49,66"
Комплексный нефтяной терминал (ЛИКАРД),"54,695513","20,187848"
Кстовская нефтебаза (ЛИКАРД),"56,092541","44,153831"
Видновская нефтебаза (ЛИКАРД),"55,562317","37,755015"
Купавинская нефтебаза (ЛИКАРД),"55,800266","38,203876"
Липецкая нефтебаза (ЛИКАРД),"52,6942980","39,4287020"
Майкопская нефтебаза (ЛИКАРД),"44,623815","40,108232"
Минераловодская нефтебаза (ЛИКАРД),"44,336789","42,971891"
Накопительная перевалочная нб (ЛИКАРД),"44,9987","41,055542"
НБ Заводская (ЛИКАРД),"63,563112","53,726725"
ЛУКОЙЛ-УНП ООО( ЛИКАРД),"63,57311884","53,71133563"
НБ Нефтебизнес (ЛИКАРД),"64,466628","40,61449125"
НБ УАЗС Печора-1 (ЛИКАРД),"65,128539","57,180211"
"Нефтебаза ""Благоевская"" (ЛИКАРД)","63,424123","47,952735"
Нефтебаза Андреевка (ЛИКАРД),"55,476363","54,310372"
Нефтебаза Березники (ЛИКАРД),"59,429645,","56,804958"
Нефтебаза Бирюли (ЛИКАРД),"55,970363,","49,421777"
Нефтебаза Бугульма (ЛИКАРД),"54,526267","52,753233"
Нефтебаза Велком (ЛИКАРД),"61,048203","42,158745"
Нефтебаза Вологодская (ЛИКАРД),"59,202232","39,93404"
Нефтебаза Воркутинская (ЛИКАРД),"67,544697","64,089037"
Нефтебаза Екатеринбург (ЛИКАРД),"56,878064","60,609627"
Нефтебаза Иглино (ЛИКАРД),"54,823081","56,396377"
Нефтебаза Интинская (ЛИКАРД),"66,025867","60,06578"
Нефтебаза Киров (ЛИКАРД),"58,569808","49,624176"
Нефтебаза Когалым (ЛИКАРД),"62,277543","74,517373"
Нефтебаза ЛАНТА-Петролеум (ЛИКАРД),"59,662508","30,223575"
Нефтебаза Мурманская (ЛИКАРД),"69,012008","33,113096"
Нефтебаза Нарьян-Марская (ЛИКАРД),"67,672188","53,100162"
Нефтебаза Новоселки (ЛИКАРД),"55,344223","37,570542"
Нефтебаза Оренбург (ЛИКАРД),"51,686942","55,079267"
Нефтебаза Пермь (ЛИКАРД),"57,909346","56,146017"
Нефтебаза Подберезье (ЛИКАРД),"58,700875","31,401141"
Нефтебаза Псковская Псковнефть-Терминал (ЛИКАРД),"57,8027995","28,4042424"
Нефтебаза СГК-Лабытнанги (ЛИКАРД),"66,709096","66,230091"
Нефтебаза Севмаш (ЛИКАРД),"64,578356","39,835922"
Нефтебаза Стеклянная (ЛИКАРД),"60,385144","30,238891"
Нефтебаза Томицы (ЛИКАРД),"61,847675","34,250866"
Нефтебаза Усинская (ЛИКАРД),"65,9932391","57,5549501"
"Нефтебаза хранения АО ""НТК"" (ЛИКАРД)","59,843733","31,606064"
Нефтебаза Челябинск (ЛИКАРД),"55,013673","61,500272"
Нефтебаза Южная Л-СЗНП (ЛИКАРД),"59,807283","30,076431"
Тюменское РУ - НГСС (ЛИКАРД),"57,151745","65,524285"
Николаевская нб Альфа Логистика (ЛИКАРД),"47,232629","39,624404"
Нефтебаза хранения Мечетинская (ЛИКАРД),"46,79325979","40,46416617"
Нефтебаза хранения Урюпинская (ЛИКАРД),"50,78145217","41,98186009"
Павловская нефтебаза (ЛИКАРД),"46,135245","39,783087"
Прохоровская нб (склад Л-ЮНП) (ЛИКАРД),"51,041969","36,732157"
Пункт налива СУГ г.Пенза (ЛИКАРД),"53,23405","44,977757"
Серпуховская нефтебаза (ЛИКАРД),"54,9256124","37,4359379"
Софринская нефтебаза (ЛИКАРД),"56,152053","37,988657"
Сочинская нефтебаза (ЛИКАРД),"43,396414","39,990858"
Старомарьевская нефтебаза (ЛИКАРД),"45,098939","42,20826"
Судогодская нефтебаза (ЛИКАРД),"55,944319","41,150952"
Сулинская нефтебаза (ЛИКАРД),"47,881724","40,111844"
Тюменская товарная группа ЛУКОЙЛ Аэро Восток (ЛИКАРД),"57,154","65,5342"
ГНС ЗАО Кубаньмежрайгаз (ЛИКАРД),"45,347485","39,075852"
Энемская нефтебаза (ЛИКАРД),"44,9094343","38,91348321"